state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
NV,8/25/20,8594,6114,824,0.711426577,0.095880847,0.134772653
SD,6/13/20,2036,596,41,0.292730845,0.020137525,0.068791946
VT,10/22/20,1283,839,7,0.653936087,0.005455963,0.008343266
DC,6/6/20,2904,1965,365,0.676652893,0.125688705,0.185750636
FL,6/11/20,57816,40095,3633,0.693493151,0.062837277,0.090609802
DE,7/8/20,2933,2070,118,0.705762018,0.040231845,0.057004831
CA,8/3/20,60344,42465,7878,0.703715365,0.130551505,0.185517485
FL,6/2/20,59587,39513,3490,0.663114438,0.058569822,0.088325361
IN,5/3/20,15331,7034,1264,0.458808949,0.082447329,0.179698607
AR,10/31/20,9777,6236,717,0.637823463,0.073335379,0.11497755
RI,7/25/20,1960,1832,71,0.934693878,0.03622449,0.038755459
NM,6/4/20,2297,1515,244,0.659555943,0.106225512,0.161056106
NC,10/19/20,23087,17272,1487,0.748126651,0.064408542,0.086093099
WA,8/12/20,9495,8233,508,0.867087941,0.053501843,0.061702903
GA,5/5/20,19060,12258,2868,0.643126967,0.150472193,0.233969652
ME,10/19/20,3198,2064,20,0.645403377,0.006253909,0.009689922
SD,8/23/20,2255,1325,67,0.587583149,0.029711752,0.050566038
MI,8/20/20,22116,16355,673,0.739509857,0.030430458,0.041149496
VA,7/28/20,15531,9798,1197,0.630867298,0.077071663,0.122167789
IL,11/23/20,30160,20390,6223,0.676061008,0.206332891,0.305198627
AK,6/25/20,1760,941,15,0.534659091,0.008522727,0.015940489
PA,6/29/20,14380,8100,820,0.563282337,0.057023644,0.101234568
TX,10/27/20,68186,49404,6405,0.724547561,0.093934239,0.129645373
NV,10/13/20,8496,5996,523,0.705743879,0.06155838,0.087224817
MI,5/15/20,19934,11349,1465,0.569328785,0.073492525,0.129086263
AR,7/5/20,7836,4562,504,0.582184788,0.06431853,0.110477861
NJ,5/13/20,9469,6410,4194,0.676945823,0.442918999,0.654290172
WA,10/27/20,11124,8816,428,0.792520676,0.038475369,0.048548094
DC,8/24/20,3464,2607,144,0.752598152,0.041570439,0.055235903
KY,6/23/20,12442,7958,606,0.63960778,0.048705996,0.076149786
NE,11/4/20,5255,3731,732,0.709990485,0.139295909,0.19619405
MO,9/26/20,19799,12787,1126,0.645840699,0.056871559,0.088058184
OH,5/31/20,14475,8404,560,0.580587219,0.038687392,0.066634936
AL,6/7/20,13460,8185,772,0.608098068,0.057355126,0.094318876
MI,10/24/20,22814,17186,1344,0.753309371,0.058911195,0.078203189
OK,11/16/20,10965,7248,1350,0.661012312,0.123119015,0.186258278
HI,9/7/20,1611,1691,203,1.049658597,0.12600869,0.120047309
ID,11/18/20,3864,2439,444,0.63121118,0.114906832,0.18204182
AZ,7/19/20,6391,5957,3132,0.932092004,0.490064153,0.525768004
UT,5/11/20,4577,2598,183,0.567620712,0.039982521,0.070438799
AZ,10/13/20,14838,10459,754,0.704879364,0.050815474,0.072091022
WV,4/26/20,5909,3087,202,0.522423422,0.034185141,0.065435698
GA,10/11/20,20746,15136,1719,0.729586426,0.082859346,0.113570296
KS,5/1/20,6951,2973,232,0.427708243,0.033376493,0.078035654
NM,10/21/20,3814,2603,311,0.682485579,0.081541689,0.119477526
AR,9/16/20,9267,6724,537,0.725585411,0.057947556,0.079863177
ID,11/2/20,4046,2061,296,0.509391992,0.073158675,0.143619602
MO,4/28/20,18645,8673,922,0.465164924,0.049450255,0.10630693
HI,5/4/20,1871,1876,18,1.002672368,0.009620524,0.009594883
KY,8/14/20,12701,8723,641,0.686796315,0.050468467,0.073483893
SD,10/17/20,2203,1519,307,0.689514299,0.139355424,0.202106649
WV,6/4/20,6097,4150,113,0.680662621,0.018533705,0.027228916
OR,5/8/20,3995,2500,148,0.625782228,0.037046308,0.0592
VI,9/10/20,188,75,1,0.39893617,0.005319149,0.013333333
IN,9/19/20,17180,10414,739,0.606169965,0.043015134,0.070962166
MT,8/1/20,2215,1536,79,0.693453725,0.035665914,0.051432292
NY,8/24/20,40628,29087,1548,0.715934823,0.038101802,0.053219651
NC,8/14/20,21723,18057,1173,0.831238779,0.053998067,0.064960957
VI,8/3/20,98,96,7,0.979591837,0.071428571,0.072916667
NV,10/23/20,8433,6287,538,0.745523538,0.063796988,0.085573405
OR,9/26/20,6334,4521,203,0.713766972,0.032049258,0.04490157
MD,4/27/20,8048,6467,1948,0.803553678,0.242047714,0.301221587
OK,6/11/20,12699,6252,288,0.49232223,0.022678951,0.046065259
KS,11/17/20,8073,5112,1127,0.633221851,0.13960114,0.220461659
AR,11/6/20,10184,6855,820,0.67311469,0.08051846,0.119620715
NY,6/27/20,33207,21746,1654,0.654861927,0.049808775,0.076059965
TN,11/22/20,20352,12539,2275,0.616106525,0.111782626,0.181433926
VI,8/6/20,188,105,5,0.558510638,0.026595745,0.047619048
IA,8/3/20,8402,26,307,0.003094501,0.036538919,11.80769231
AZ,9/16/20,12327,10029,740,0.813579946,0.060030827,0.073786021
VI,7/24/20,168,101,4,0.601190476,0.023809524,0.03960396
MN,7/15/20,2560,1456,398,0.56875,0.15546875,0.273351648
MI,6/19/20,21461,13838,606,0.64479754,0.028237268,0.043792456
SD,4/25/20,610,345,55,0.56557377,0.090163934,0.15942029
MO,11/2/20,18749,11722,1773,0.625206678,0.094565043,0.151254052
VI,9/11/20,188,86,1,0.457446809,0.005319149,0.011627907
SD,6/8/20,2449,860,92,0.35116374,0.037566354,0.106976744
MN,6/29/20,12544,6874,451,0.547991071,0.035953444,0.065609543
AK,8/2/20,1341,833,36,0.621178225,0.026845638,0.043217287
NE,8/28/20,5616,3638,230,0.647792023,0.040954416,0.06322155
MS,11/15/20,8811,5475,768,0.621382363,0.087163773,0.140273973
RI,4/25/20,2477,1543,427,0.622930965,0.172385951,0.276733636
DC,5/27/20,2922,2051,686,0.701916496,0.234770705,0.33447099
SC,9/10/20,10387,8512,809,0.819485896,0.077885819,0.095042293
ME,6/29/20,3112,1815,48,0.583226221,0.015424165,0.026446281
MO,11/3/20,18791,12177,1834,0.64802299,0.097599915,0.150611809
SC,7/13/20,11038,7581,1504,0.686809205,0.136256568,0.198390714
FL,10/12/20,78334,44423,2659,0.567097301,0.033944392,0.059856381
AK,10/8/20,1569,1042,51,0.664117272,0.03250478,0.048944338
NJ,11/14/20,22369,16331,2157,0.730072869,0.096428092,0.132080093
IN,5/5/20,15566,7889,1477,0.506809713,0.094886291,0.187222715
WY,11/11/20,1668,866,201,0.519184652,0.120503597,0.232101617
FL,9/3/20,77339,44431,4892,0.574496696,0.063253986,0.110103306
OK,7/24/20,8620,5548,712,0.64361949,0.082598608,0.128334535
OK,7/7/20,12340,6233,677,0.505105348,0.054862237,0.108615434
WA,5/15/20,14011,9840,635,0.702305332,0.045321533,0.06453252
NH,9/28/20,3249,2138,42,0.65804863,0.012927054,0.019644528
RI,6/29/20,2295,1806,80,0.786928105,0.034858388,0.044296788
HI,6/10/20,1199,1620,0,1.351125938,0,0
AR,6/18/20,7812,4654,364,0.595750128,0.046594982,0.078212291
IA,5/28/20,6790,3515,381,0.517673049,0.056111929,0.108392603
VT,10/20/20,1300,885,0,0.680769231,0,0
OR,5/16/20,4712,3076,176,0.652801358,0.037351443,0.057217165
NH,11/6/20,3255,2267,76,0.696466974,0.023348694,0.033524482
KS,10/14/20,8417,5393,480,0.6407271,0.057027444,0.089004265
CO,5/17/20,4946,3367,387,0.680752123,0.078245047,0.114939115
WA,7/5/20,12318,7211,438,0.585403475,0.03555772,0.060740535
LA,5/24/20,6595,4148,832,0.628961334,0.126156179,0.200578592
WY,6/25/20,974,555,14,0.569815195,0.014373717,0.025225225
NE,10/16/20,5545,3900,369,0.703336339,0.066546438,0.094615385
MI,6/28/20,20979,12897,599,0.614757615,0.028552362,0.04644491
DE,7/31/20,2487,1883,143,0.757137113,0.057498995,0.075942645
CA,9/30/20,64579,46250,3359,0.716177085,0.052013813,0.072627027
KY,6/28/20,11064,6650,545,0.601048445,0.049258858,0.081954887
PA,10/26/20,30177,24015,1644,0.795804752,0.054478576,0.068457214
NM,8/20/20,3568,2253,113,0.631446188,0.031670404,0.050155348
DC,10/29/20,3662,2952,179,0.806116876,0.048880393,0.060636856
SC,11/23/20,10160,7699,846,0.757775591,0.083267717,0.109884401
KS,10/16/20,8420,5343,474,0.63456057,0.056294537,0.088714206
GA,8/18/20,15083,11994,3611,0.795199894,0.239408606,0.3010672
AL,5/16/20,7659,4340,375,0.56665361,0.048962005,0.08640553
ID,7/14/20,2461,1326,343,0.538805364,0.139374238,0.2586727
NV,7/17/20,8563,6242,1118,0.728950134,0.130561719,0.17910926
WY,4/27/20,1579,478,38,0.302723243,0.024065864,0.079497908
GA,9/23/20,18596,14781,2207,0.794848354,0.118681437,0.149313308
OR,5/12/20,4843,3264,192,0.67396242,0.039644848,0.058823529
MD,6/26/20,8596,7077,848,0.823289902,0.098650535,0.119824785
CT,8/19/20,8163,6083,171,0.745191719,0.020948181,0.028111129
LA,9/6/20,13715,8841,740,0.644622676,0.053955523,0.083700939
MN,7/9/20,12339,7663,456,0.621038982,0.036955993,0.059506721
DC,7/17/20,642,493,137,0.767912773,0.213395639,0.277890467
MN,7/6/20,12299,6711,418,0.545654118,0.033986503,0.062285799
NC,9/1/20,23395,5184,582,0.221585809,0.02487711,0.112268519
GA,6/13/20,15671,10353,1292,0.660647055,0.082445281,0.124794745
PR,6/19/20,8334,4821,82,0.578473722,0.009839213,0.017008919
ME,7/8/20,3158,1942,49,0.614946168,0.015516149,0.02523172
MI,8/7/20,21986,16364,748,0.744291822,0.03402165,0.045710095
MS,9/4/20,7859,5311,737,0.675785723,0.093777834,0.138768593
MT,8/9/20,2219,1687,77,0.760252366,0.034700315,0.045643154
MT,11/12/20,3189,2269,460,0.71150831,0.144245845,0.202732481
MD,11/11/20,11814,9600,1242,0.812595226,0.105129507,0.129375
MT,9/9/20,2260,1785,137,0.789823009,0.060619469,0.0767507
WI,11/1/20,13001,8338,1814,0.641335282,0.139527729,0.217558167
CT,10/20/20,8248,6023,376,0.730237633,0.045586809,0.062427362
OR,11/21/20,6859,4962,604,0.723429071,0.088059484,0.121725111
WY,5/5/20,1062,511,28,0.481167608,0.026365348,0.054794521
TN,11/20/20,20550,13157,2252,0.640243309,0.109586375,0.171163639
GA,7/18/20,9748,5734,4271,0.588223225,0.438141157,0.744855249
OR,10/14/20,6178,4780,252,0.773713176,0.0407899,0.052719665
CA,10/6/20,64668,45746,3333,0.707397786,0.051540174,0.072858829
MO,6/1/20,20628,11058,624,0.536067481,0.030250145,0.056429734
VA,8/1/20,15341,10807,1503,0.704452122,0.097972753,0.139076524
AR,6/1/20,8709,4722,230,0.542197726,0.026409461,0.048708175
WV,5/1/20,5806,3195,175,0.550292801,0.030141233,0.054773083
DE,7/25/20,2403,1823,188,0.75863504,0.078235539,0.103126714
FL,4/29/20,31595,16974,3748,0.537236905,0.118626365,0.220808295
RI,11/5/20,2269,2003,210,0.882767739,0.092551785,0.104842736
ME,9/13/20,3068,1989,28,0.648305085,0.009126467,0.014077426
SD,7/9/20,2492,961,73,0.385634029,0.02929374,0.075962539
TX,7/16/20,44587,34269,12594,0.768587256,0.282459013,0.367504158
DE,6/3/20,3034,1967,164,0.648319051,0.054054054,0.083375699
WI,9/5/20,12843,7544,506,0.587401697,0.039398894,0.067073171
NJ,10/3/20,21676,15478,509,0.714061635,0.023482192,0.032885386
AL,5/30/20,13442,8023,735,0.596860586,0.054679363,0.091611617
IN,9/12/20,17306,10794,741,0.623714319,0.04281752,0.06864925
KY,10/27/20,12801,9125,970,0.712834935,0.07577533,0.10630137
TN,8/2/20,18615,10296,1598,0.553102337,0.085844749,0.155205905
CA,8/9/20,57645,40138,7004,0.696296296,0.121502299,0.174497982
UT,5/22/20,5164,2684,153,0.51975213,0.029628195,0.057004471
NJ,6/12/20,12905,9029,1744,0.699651298,0.135141418,0.193155388
NJ,9/15/20,20034,14899,654,0.743685734,0.032644504,0.043895563
SC,5/3/20,11673,6891,406,0.590336674,0.034781119,0.058917429
MT,10/6/20,2721,2077,224,0.763322308,0.082322675,0.107847857
WA,7/22/20,8026,5293,505,0.659481685,0.062920508,0.095409031
SD,9/1/20,2348,1448,87,0.61669506,0.037052811,0.060082873
NE,5/28/20,4992,2949,296,0.590745192,0.059294872,0.100373008
NE,9/14/20,5111,3112,214,0.608882802,0.041870475,0.068766067
OK,10/9/20,11203,7567,822,0.675444077,0.073373204,0.108629576
CO,6/25/20,7562,3898,185,0.515472097,0.024464427,0.047460236
MO,8/17/20,18475,11317,921,0.61255751,0.04985115,0.081381992
NC,5/10/20,22047,17501,592,0.793804146,0.026851726,0.033826638
MS,7/18/20,5276,3701,1057,0.701478393,0.200341168,0.285598487
SC,7/4/20,10977,7303,1267,0.665300173,0.115423158,0.173490346
UT,7/21/20,4790,2507,256,0.523382046,0.053444676,0.102114081
ID,8/21/20,3972,2087,191,0.525427996,0.048086606,0.091518927
CO,8/10/20,9194,5684,422,0.61822928,0.0458995,0.07424349
RI,6/28/20,1495,1061,49,0.709698997,0.03277592,0.046182846
SD,10/11/20,2207,1498,280,0.678749434,0.126869053,0.186915888
TN,5/28/20,11077,12810,409,1.156450302,0.036923355,0.031928181
MS,10/1/20,7816,5190,836,0.664022518,0.106960082,0.161078998
TX,8/7/20,57159,41230,9451,0.721321227,0.16534579,0.229226292
WY,5/8/20,1047,606,21,0.578796562,0.020057307,0.034653465
NC,10/17/20,23453,17850,1422,0.761096661,0.060631902,0.079663866
NH,9/19/20,3267,2158,25,0.660544842,0.00765228,0.011584801
NE,7/26/20,3977,2432,174,0.611516218,0.043751572,0.071546053
TX,10/29/20,71714,52281,6528,0.729020833,0.091028251,0.124863717
WI,8/23/20,12302,7189,600,0.584376524,0.048772557,0.083460843
WA,6/14/20,12035,7842,369,0.651599501,0.030660573,0.047054323
CO,5/7/20,3971,3532,498,0.889448502,0.125409217,0.140996602
WY,10/4/20,1618,684,58,0.422744129,0.035846724,0.084795322
PA,10/22/20,35976,27928,1564,0.776295308,0.043473427,0.056001146
SC,10/6/20,10328,8238,696,0.79763749,0.06738962,0.084486526
CA,9/21/20,63511,43398,3641,0.683314701,0.057328652,0.083897875
NY,6/1/20,35591,23309,3836,0.654912759,0.107780057,0.164571625
WI,7/31/20,11415,7359,555,0.644678055,0.048620237,0.075417856
KS,5/11/20,7807,2962,245,0.3794031,0.031382093,0.082714382
TN,9/20/20,20055,12814,979,0.638942907,0.048815757,0.076400812
NC,8/18/20,22699,19509,1448,0.859465175,0.063791356,0.074222154
MD,4/26/20,8004,6530,1933,0.815842079,0.241504248,0.296018377
NC,5/15/20,22310,17906,662,0.802599731,0.029672792,0.036970848
DC,6/19/20,3094,2123,246,0.686166774,0.079508727,0.115873764
DC,10/25/20,3588,2779,169,0.774526198,0.047101449,0.060813242
VA,4/24/20,7380,4452,557,0.603252033,0.075474255,0.125112309
FL,7/13/20,60893,46197,11296,0.758658631,0.185505723,0.244518042
MT,7/23/20,2400,1626,68,0.6775,0.028333333,0.041820418
AK,5/5/20,1495,641,3,0.428762542,0.002006689,0.004680187
WY,5/10/20,1054,535,29,0.507590133,0.027514231,0.054205607
MI,5/22/20,18095,10232,1179,0.565460072,0.06515612,0.11522674
NJ,9/24/20,19626,14264,610,0.726790992,0.031081219,0.042765003
NH,7/31/20,3142,2220,63,0.706556334,0.020050923,0.028378378
DE,7/19/20,1849,1262,131,0.682531098,0.070849108,0.103803487
KY,9/22/20,13486,9076,575,0.672994216,0.042636809,0.0633539
UT,4/30/20,4099,2237,198,0.545742864,0.048304465,0.088511399
MA,11/6/20,21798,15555,615,0.713597578,0.028213598,0.039537126
IN,10/8/20,17597,11768,1197,0.668750355,0.068022958,0.101716519
WV,9/29/20,6601,4764,261,0.721708832,0.039539464,0.054785894
MT,5/3/20,3003,1065,18,0.354645355,0.005994006,0.016901408
ND,6/2/20,1990,1177,69,0.591457286,0.034673367,0.058623619
MO,9/3/20,19040,12691,966,0.666544118,0.050735294,0.076116933
WA,5/25/20,10999,7329,608,0.666333303,0.055277753,0.082958112
CO,9/26/20,11084,7445,317,0.671688921,0.028599783,0.042578912
RI,7/10/20,1425,1154,45,0.809824561,0.031578947,0.038994801
UT,6/12/20,5696,3325,212,0.583742978,0.037219101,0.063759398
OR,5/26/20,5576,2725,133,0.488701578,0.023852224,0.048807339
OK,6/6/20,12476,5086,222,0.407662712,0.017794165,0.043649233
ND,5/14/20,2880,1543,89,0.535763889,0.030902778,0.057679844
KY,9/30/20,13465,9388,558,0.697215002,0.041440772,0.05943758
MS,10/7/20,7872,5393,568,0.685086382,0.072154472,0.105321713
MO,7/26/20,18028,10628,971,0.589527402,0.053860661,0.091362439
IL,6/7/20,28239,15694,2490,0.555756224,0.088175927,0.15865936
NE,8/17/20,5299,3173,189,0.598792225,0.035667107,0.05956508
MS,4/25/20,4826,3382,581,0.700787402,0.120389557,0.171791839
AR,10/29/20,10000,6550,749,0.655,0.0749,0.114351145
MI,6/14/20,19288,10618,997,0.550497719,0.05169017,0.093897156
VI,9/21/20,188,97,4,0.515957447,0.021276596,0.041237113
ID,5/22/20,3801,1577,19,0.414890818,0.004998685,0.012048193
MN,10/29/20,12011,8696,970,0.724002997,0.080759304,0.111545538
TN,4/25/20,11511,11238,486,0.976283555,0.042220485,0.043246129
MI,11/19/20,23435,18544,3819,0.791295071,0.162961383,0.205942623
SD,7/18/20,2112,1285,77,0.60842803,0.036458333,0.059922179
IN,6/18/20,14552,8735,705,0.600261132,0.048446949,0.080709788
HI,9/30/20,1677,1947,173,1.161001789,0.103160405,0.088854648
HI,10/26/20,2221,1553,82,0.699234579,0.036920306,0.05280103
GA,10/19/20,20652,15804,1729,0.76525276,0.083720705,0.109402683
IA,8/28/20,8333,5231,361,0.62774511,0.043321733,0.069011661
KS,9/11/20,7901,4826,307,0.610808758,0.038855841,0.063613759
MD,4/23/20,8298,6382,1786,0.769100988,0.215232586,0.279849577
TX,7/20/20,43591,31896,11671,0.731710674,0.267738753,0.365907951
AL,10/13/20,15026,11174,989,0.74364435,0.065819247,0.088509039
SC,6/25/20,10746,7899,897,0.73506421,0.08347292,0.113558678
KS,8/26/20,7925,4588,310,0.578927445,0.039116719,0.067567568
OR,5/7/20,3999,2599,145,0.649912478,0.036259065,0.055790689
NC,8/6/20,21492,17858,1325,0.830913828,0.061650847,0.074196439
VA,7/20/20,12161,7971,1223,0.655455966,0.100567388,0.153431188
MI,9/12/20,22497,16416,591,0.729697293,0.026270169,0.036001462
AZ,9/27/20,12213,9101,518,0.745189552,0.042413821,0.056916822
MN,5/19/20,12534,6541,792,0.521860539,0.063188128,0.121082403
NJ,5/7/20,5041,3523,1387,0.698869272,0.275143821,0.393698552
PR,5/22/20,2453,2023,113,0.824704444,0.046066042,0.055857637
IA,5/15/20,8808,4587,379,0.520776567,0.043029064,0.082624809
NJ,11/11/20,22445,17115,1922,0.76253063,0.085631544,0.112299153
ID,5/20/20,3848,1731,28,0.449844075,0.007276507,0.016175621
OH,6/14/20,20339,12300,609,0.604749496,0.029942475,0.049512195
TN,5/4/20,12193,11047,430,0.906011646,0.035266136,0.038924595
UT,11/5/20,6167,3696,433,0.599318956,0.070212421,0.11715368
PR,8/11/20,9139,5129,425,0.56122114,0.046503994,0.082862156
AK,10/5/20,1564,940,44,0.601023018,0.028132992,0.046808511
DC,7/26/20,3171,2238,266,0.70577105,0.08388521,0.118856122
PR,10/27/20,9205,5146,468,0.559043998,0.050841934,0.090944423
CO,10/5/20,10920,7018,361,0.642673993,0.033058608,0.051439156
NM,10/18/20,3796,2341,242,0.616701791,0.063751317,0.103374626
VI,5/10/20,82,64,2,0.780487805,0.024390244,0.03125
MD,9/12/20,10831,8521,781,0.786723294,0.072107839,0.091655909
VT,8/8/20,572,359,8,0.627622378,0.013986014,0.022284123
WI,5/26/20,12066,6828,516,0.565887618,0.042764794,0.075571178
HI,8/19/20,1554,1714,204,1.102960103,0.131274131,0.119019837
MT,6/21/20,3034,1201,19,0.395847067,0.00626236,0.01582015
GA,8/23/20,14630,11326,3337,0.774162679,0.22809296,0.294631821
VT,7/29/20,572,386,9,0.674825175,0.015734266,0.023316062
NV,7/9/20,5136,4002,1001,0.779205607,0.194898754,0.250124938
MO,7/20/20,11282,7558,1039,0.669916681,0.0920936,0.13747023
OR,11/25/20,6726,5019,590,0.746208742,0.087719298,0.117553297
HI,10/23/20,2291,1624,84,0.708860759,0.036665212,0.051724138
SC,6/2/20,11643,8061,462,0.692347333,0.039680495,0.057312988
MO,7/11/20,20341,11640,828,0.572243253,0.040705963,0.071134021
CA,5/4/20,60637,32538,4364,0.536603064,0.07196926,0.134120106
VI,5/16/20,78,56,2,0.717948718,0.025641026,0.035714286
WY,6/19/20,1202,608,23,0.505823627,0.019134775,0.037828947
ID,9/27/20,3970,2034,154,0.512342569,0.038790932,0.075712881
GA,7/28/20,12975,8891,4271,0.685240848,0.329171484,0.480373411
HI,5/14/20,1909,2056,17,1.077003667,0.008905186,0.008268482
OH,6/22/20,26576,17200,996,0.647200482,0.037477423,0.057906977
MT,8/28/20,2312,1748,95,0.756055363,0.041089965,0.054347826
MS,7/19/20,5328,3627,1069,0.680743243,0.200638138,0.29473394
IL,5/30/20,26908,15316,3135,0.569198751,0.116508102,0.204687908
MO,8/30/20,18775,11423,935,0.608415446,0.049800266,0.081852403
MS,8/4/20,7135,5166,1546,0.72403644,0.216678346,0.299264421
CA,11/8/20,65713,45693,3700,0.695341865,0.056305449,0.080975204
MN,9/29/20,11318,8023,561,0.708870825,0.049567061,0.069923969
LA,11/2/20,13959,8985,621,0.64367075,0.044487427,0.069115192
NM,5/20/20,2075,1250,214,0.602409639,0.10313253,0.1712
CA,11/16/20,63955,44387,5012,0.694034868,0.078367602,0.112915944
ND,6/7/20,1758,976,37,0.555176337,0.021046644,0.037909836
VA,11/23/20,18201,11885,1481,0.6529861,0.081369156,0.124610854
HI,10/16/20,1958,2081,102,1.062819203,0.052093973,0.049014897
PR,6/24/20,8366,4580,89,0.54745398,0.010638298,0.019432314
FL,8/18/20,77976,45345,7309,0.581525085,0.093733969,0.161186459
OH,10/13/20,30192,21791,1576,0.721747483,0.052199258,0.072323436
HI,5/28/20,1910,2057,2,1.076963351,0.00104712,0.00097229
IL,11/20/20,31741,22609,6319,0.712296399,0.199080054,0.279490468
NV,10/26/20,8388,6094,556,0.726514068,0.066285169,0.091237283
NH,8/10/20,3344,2130,46,0.636961722,0.013755981,0.021596244
WI,7/10/20,12242,8264,437,0.675053096,0.035696782,0.052879961
AL,6/4/20,14022,9299,846,0.663172158,0.060333761,0.090977524
UT,7/27/20,5090,2784,257,0.546954813,0.050491159,0.092313218
MT,10/16/20,2915,2088,344,0.716295026,0.118010292,0.164750958
NJ,8/15/20,17853,13233,192,0.741219963,0.010754495,0.014509182
DC,10/2/20,3274,2667,151,0.814599878,0.046120953,0.056617923
DE,11/3/20,2815,1930,158,0.685612789,0.056127886,0.081865285
RI,11/18/20,2311,2055,316,0.889225444,0.136737343,0.15377129
FL,4/26/20,29698,15363,2781,0.517307563,0.09364267,0.181019332
NE,11/1/20,5150,3487,641,0.677087379,0.124466019,0.183825638
PA,6/30/20,14266,8331,842,0.583975887,0.05902145,0.101068299
WY,6/24/20,974,523,16,0.536960986,0.016427105,0.030592734
FL,11/8/20,56165,40456,3866,0.720306241,0.068832903,0.095560609
IA,9/4/20,8300,5075,350,0.611445783,0.042168675,0.068965517
WI,8/18/20,12284,7839,665,0.638147183,0.054135461,0.084832249
VT,11/17/20,789,445,14,0.56400507,0.01774398,0.031460674
WV,11/13/20,6309,4855,427,0.769535584,0.067681091,0.087950566
NM,9/20/20,3629,2673,104,0.736566547,0.028658033,0.038907594
ID,11/15/20,4086,2192,409,0.536465981,0.100097895,0.186587591
DC,9/6/20,3250,2396,119,0.737230769,0.036615385,0.04966611
NC,10/11/20,22977,16862,1329,0.733864299,0.057840449,0.078816273
CT,7/12/20,8550,5563,204,0.650643275,0.023859649,0.036670861
AK,5/3/20,1636,577,8,0.352689487,0.004889976,0.013864818
SD,10/19/20,2709,1658,334,0.612033961,0.123292728,0.201447527
LA,6/9/20,7953,4141,620,0.520684019,0.077958003,0.149722289
MI,7/1/20,21458,13819,663,0.644002237,0.030897567,0.047977422
NH,5/27/20,2795,1704,112,0.609660107,0.040071556,0.0657277
MI,7/6/20,21357,13766,622,0.644566184,0.029123941,0.045183786
WY,8/10/20,1795,605,40,0.337047354,0.022284123,0.066115702
MN,10/22/20,11690,8226,735,0.703678358,0.062874251,0.089350839
OH,8/30/20,30042,19912,1263,0.662805406,0.042041142,0.063429088
SD,9/22/20,2361,1539,185,0.65184244,0.078356629,0.120207927
MO,10/2/20,20859,13828,1184,0.662927274,0.056762069,0.085623373
ND,10/27/20,1988,1512,310,0.76056338,0.155935614,0.205026455
MI,8/18/20,21953,16409,694,0.747460484,0.031612991,0.042293863
FL,6/16/20,61391,44327,3919,0.722043948,0.063836719,0.088411126
TX,5/15/20,57099,32224,3073,0.564353141,0.053818806,0.095363704
GA,11/13/20,23108,18199,2189,0.787562749,0.094729098,0.120281334
ND,10/24/20,2293,1696,304,0.73964239,0.13257741,0.179245283
AZ,6/9/20,11040,8290,2418,0.750905797,0.219021739,0.291676719
TX,8/30/20,63223,44784,5339,0.708349809,0.084447116,0.119216685
NY,5/18/20,37858,24650,6110,0.651117333,0.161392572,0.247870183
MS,5/5/20,5364,3997,561,0.745152871,0.10458613,0.140355266
WV,6/1/20,6025,3625,104,0.601659751,0.017261411,0.028689655
SC,9/3/20,10310,8386,907,0.813385063,0.087972842,0.108156451
ME,8/3/20,2937,1878,31,0.639427988,0.010554988,0.016506922
WA,8/13/20,9968,9116,594,0.914526485,0.05959069,0.065160158
MN,8/23/20,11556,7315,465,0.6330045,0.040238837,0.063568011
OK,11/20/20,10429,7796,1538,0.747530923,0.147473392,0.197280657
MD,11/12/20,11851,9635,1254,0.81301156,0.105813855,0.130150493
AL,5/19/20,7689,4593,376,0.597346859,0.048901027,0.081863706
ME,6/26/20,3145,1974,57,0.627662957,0.018124006,0.02887538
FL,7/23/20,71470,43600,11909,0.610046173,0.166629355,0.273142202
CT,7/9/20,8613,5969,237,0.693022176,0.027516545,0.039705143
GA,6/8/20,18954,12461,1454,0.657433787,0.07671204,0.116684054
NC,8/16/20,20992,17513,1244,0.834270198,0.059260671,0.071032947
MO,4/23/20,13946,6932,819,0.497060089,0.058726517,0.118147721
FL,8/15/20,76962,43268,7530,0.562199527,0.097840493,0.174031617
DC,8/3/20,2639,1944,151,0.736642668,0.057218643,0.077674897
NM,7/12/20,1999,1173,175,0.586793397,0.087543772,0.149190111
IN,6/5/20,15585,9363,836,0.600769971,0.053641322,0.089287621
AL,5/11/20,7762,4329,399,0.557717083,0.051404277,0.092169092
IA,10/31/20,8249,5101,717,0.618377985,0.086919627,0.140560674
PR,5/25/20,2422,1928,114,0.796036334,0.047068538,0.059128631
MI,11/21/20,23446,18340,3896,0.78222298,0.166169069,0.212431843
MD,5/7/20,8132,6778,2132,0.833497295,0.262174127,0.314547064
MO,6/20/20,20949,11324,599,0.540550862,0.02859325,0.052896503
VA,11/14/20,19221,12896,1278,0.670932834,0.066489777,0.099100496
ND,8/11/20,2315,1594,113,0.688552916,0.048812095,0.070890841
IN,6/1/20,15333,8698,918,0.567273202,0.059870867,0.105541504
UT,5/24/20,5153,2494,153,0.483989909,0.029691442,0.061347233
FL,8/27/20,77345,45266,5841,0.585247915,0.075518779,0.129037246
MO,6/25/20,20978,12635,657,0.602297645,0.031318524,0.051998417
PA,10/29/20,36560,27754,1796,0.759135667,0.049124726,0.064711393
