state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
SC,11/13/20,11370,9013,781,0.792700088,0.068689534,0.086652613
MN,11/8/20,11420,8066,1372,0.706304729,0.120140105,0.170096702
VT,11/24/20,1308,735,25,0.561926606,0.01911315,0.034013605
SD,5/5/20,1507,821,73,0.544790975,0.04844061,0.088915956
HI,8/15/20,1498,1714,173,1.144192256,0.115487316,0.100933489
TX,1/1/20,790,42,0,0.053164557,0,0
IA,8/7/20,8332,4932,287,0.59193471,0.034445511,0.058191403
RI,7/9/20,1458,1100,36,0.754458162,0.024691358,0.032727273
MD,8/10/20,10041,7785,930,0.775321183,0.092620257,0.119460501
WI,5/22/20,12636,7012,482,0.554922444,0.038144983,0.068739304
CO,10/14/20,10985,7660,447,0.69731452,0.040691853,0.058355091
PA,6/26/20,13617,8325,805,0.611368143,0.05911728,0.096696697
NM,9/29/20,3651,2336,130,0.639824706,0.035606683,0.055650685
OH,6/17/20,19592,12518,908,0.638934259,0.046345447,0.072535549
GA,8/14/20,14365,11663,3605,0.811903933,0.250957188,0.309097145
NE,10/31/20,5171,3620,655,0.700058016,0.126667956,0.180939227
AL,10/24/20,15330,11195,1116,0.730267449,0.072798434,0.09968736
NE,8/13/20,5469,3383,202,0.618577436,0.036935454,0.059710316
VI,8/10/20,188,95,6,0.505319149,0.031914894,0.063157895
DE,11/5/20,3201,2300,159,0.718525461,0.049671978,0.069130435
WI,5/21/20,12477,7861,583,0.630039272,0.046725976,0.074163592
UT,10/3/20,5297,3188,232,0.601850104,0.043798376,0.072772898
MI,7/10/20,21599,15264,620,0.706699384,0.028705033,0.040618449
MI,5/20/20,18767,10771,1311,0.573932967,0.069856663,0.121715718
VI,6/6/20,82,70,1,0.853658537,0.012195122,0.014285714
IA,10/6/20,8227,5274,483,0.641059925,0.058709128,0.091581342
MI,8/2/20,17094,12684,649,0.742014742,0.037966538,0.051166824
OK,9/13/20,9570,5666,568,0.592058516,0.059352142,0.100247088
NJ,5/3/20,4922,3381,1564,0.686915888,0.317757009,0.462585034
ND,10/26/20,2163,1519,309,0.702265372,0.142857143,0.203423305
HI,6/15/20,2020,1757,9,0.86980198,0.004455446,0.005122368
WA,10/28/20,11953,9640,448,0.806492094,0.037480131,0.046473029
VA,9/7/20,16870,10298,1139,0.610432721,0.067516301,0.110604001
VA,10/10/20,18052,11702,928,0.648238422,0.051407046,0.079302683
OH,6/9/20,27834,18748,1072,0.673564705,0.038514048,0.057179432
AZ,5/31/20,10883,8102,1310,0.744463843,0.120371221,0.161688472
